Name,Birthday,Country
Patrick Curtis,1961/12/14,Qatar
Sylvester Hahn,2015/10/03,Madagascar
Jameson Rosa,1933/07/18,Mauritius
Axel Ford,1981/03/24,Canada
Ivor Dominguez,1935/02/06,Timor-Leste
Kuame Tate,1937/09/06,Brazil
Emmanuel Bray,1947/05/05,Brazil
Ralph Haley,1993/05/20,Peru
Walker Thompson,2003/06/23,Fiji
Fulton Perez,1919/11/11,Singapore
Bradley Mcbride,1973/06/09,Kenya
Cullen Durham,1981/03/08,Australia
Ciaran Murray,1948/10/06,Australia
Jason Branch,1960/11/04,Pitcairn Islands
Benjamin Bartlett,1990/08/20,Montenegro
Ishmael Sharpe,1948/10/28,Pitcairn Islands
Zane Barnes,2020/04/04,"Palestine, State of"
Akeem Rush,1939/01/08,South Georgia and The South Sandwich Islands
Macon Kramer,1975/06/29,Heard Island and Mcdonald Islands
Wesley Carter,1957/05/25,Lesotho
Zeus Rivera,1995/04/18,Fiji
Kyle Pratt,1917/01/01,Honduras
Drake Hanson,1950/04/22,Heard Island and Mcdonald Islands
Clark Hewitt,1975/04/11,Timor-Leste
Uriah Conrad,1993/06/02,Uruguay
Macaulay Pearson,1969/06/11,"Palestine, State of"
Deacon Mcgowan,1963/01/10,Sweden
Brenden Short,2014/11/11,Gibraltar
Neville Sanford,1931/03/30,Malaysia
Scott Jones,1979/05/07,Isle of Man
Kaseem Orr,1937/01/04,Canada
Tanner Hogan,1918/06/04,Jersey
Theodore Miles,2019/06/24,Somalia
Paul Wynn,2002/08/05,Canada
Kelly Underwood,2014/10/05,Jersey
Dean Hodges,1948/03/01,Saint Kitts and Nevis
Allistair Allison,1939/04/06,Canada
Elijah Daniel,1921/06/17,Canada
Brent Burke,1998/10/03,Sri Lanka
Cain Briggs,1929/08/17,Palau
Kennan Wilkerson,2015/05/14,Canada
Cadman Knapp,1937/11/27,Brazil
Burke Crawford,2015/11/26,Morocco
Jesse Moran,1963/08/26,Suriname
Hashim Douglas,1942/09/23,Brazil
Jakeem Garza,1992/03/25,Canada
Hall Hensley,1965/02/16,Tanzania
Caleb Olson,1991/11/06,Brazil
Gil Mendoza,2019/06/06,Australia
Neville Livingston,2003/05/31,Samoa
Phelan Reed,2001/12/03,Saint Vincent and The Grenadines
Wesley Mathews,1922/07/14,Kazakhstan
Kareem Conner,1928/10/03,Hungary
Keaton Fowler,1925/10/18,Turks and Caicos Islands
Buckminster Harvey,1946/03/29,New Caledonia
Daquan Bradford,1941/02/06,Singapore
Jeremy Olsen,2015/11/29,Romania
Clarke Riggs,1951/09/15,Kenya
Hoyt Simmons,1973/12/29,South Sudan
Trevor Olson,1959/05/11,Spain
Devin Whitley,2019/07/28,Canada
Cooper Brock,1974/10/22,Monaco
Chase James,2008/06/30,Nepal
Chase Torres,1927/05/05,Brazil
Xavier Ramos,1956/08/17,Saint Pierre and Miquelon
Jameson Kelley,1983/08/06,Zimbabwe
Ali Lowe,1915/09/27,Canada
Leo Avila,1959/01/27,San Marino
Andrew Mccarty,1932/08/22,Canada
Devin Schneider,1987/03/20,Sierra Leone
Addison Hart,2011/08/09,Senegal
Christian Odom,1943/08/17,Mauritius
Rajah Wall,1921/05/19,Montserrat
Kadeem Patrick,1941/11/05,Canada
Burke Sanford,2001/11/02,Portugal
Hector Townsend,1984/10/09,Liechtenstein
Palmer Skinner,1989/03/26,Thailand
Raja Pratt,1965/05/30,Venezuela
Gage Dodson,1925/10/29,Canada
Elvis Martinez,1959/10/02,Myanmar
Gil Justice,1975/07/23,Luxembourg
Benjamin Leach,2019/08/11,Swaziland
Kyle Nieves,2018/09/16,Nepal
Louis Ward,1953/05/04,Canada
Hilel Middleton,1975/07/27,Australia
Lamar Hall,1961/07/25,Saint Martin
Denton Burton,1972/03/06,Saint Vincent and The Grenadines
Finn Perkins,1984/09/16,Slovenia
Matthew Lyons,1962/04/17,Tajikistan
David Wallace,2003/02/20,Afghanistan
Chaim Clemons,1967/02/08,Nigeria
George Gutierrez,1925/02/01,Canada
Ronan Carlson,1918/11/11,Nauru
Myles Joyner,2006/02/02,Uruguay
Barrett Stevenson,2005/01/19,Macedonia
Amir Kaufman,1934/08/29,Liberia
